,time_initialization,test_cost,test_accur,train_cost,time_train_this_epoch,train_accur,time_train_total,time_read_data_this_epoch,time_read_data_total,training_finished,training_finish_requested
0,2.0043559074401855,2.938061475753784,0.0982001582278481,,,,,,,,
391,,1.4384816884994507,0.4880340189873418,1.699787974357605,4.007343292236328,0.3958519820666984,4.007343292236328,1.4266724586486816,1.4266724586486816,,
782,,1.3226351737976074,0.5349090189873418,1.3706963062286377,4.151365756988525,0.5211916559797418,8.158709049224854,1.4632899761199951,2.8899624347686768,,
1173,,1.2385400533676147,0.5666534810126582,1.2685303688049316,4.449852466583252,0.5579843350383632,12.608561515808105,1.7806897163391113,4.670652151107788,,
1564,,1.2006986141204834,0.5790150316455697,1.2042409181594849,4.437453746795654,0.5807025255754475,17.04601526260376,1.5084128379821777,6.179064989089966,,
1955,,1.172629714012146,0.5907832278481012,1.1531020402908325,4.4460296630859375,0.6006633631713555,21.492044925689697,1.7616243362426758,7.940689325332642,,
2346,,1.1428470611572266,0.6047270569620253,1.1167200803756714,4.222754240036011,0.6148657288850116,25.714799165725708,1.4637970924377441,9.404486417770386,,
2737,,1.1210474967956543,0.6091772151898734,1.0951440334320068,4.314194917678833,0.6214753836393356,30.02899408340454,1.4798846244812012,10.884371042251587,,
3128,,1.1363580226898193,0.6012658227848101,1.0696067810058594,4.405595064163208,0.6291640025880331,34.43458914756775,1.7346856594085693,12.619056701660156,,
3519,,1.0962333679199219,0.6154074367088608,1.0562268495559692,4.471874475479126,0.6358815536779516,38.906463623046875,1.716947078704834,14.33600378036499,,
3910,,1.10098135471344,0.6142207278481012,1.0440630912780762,4.468979597091675,0.6379355818719206,43.37544322013855,1.8442926406860352,16.180296421051025,True,True
